core_name,core_type,sample_depth_start,sample_depth_end,latitude,longitude,wdepth,UK37,include,reference_name,reference_link,notes
GeoB10043-2,MC,0,1,-7.005,105.001,2170,0.875,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10044-3,MC,0,1,-8.5,109.016,3346,0.943,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10047-1,MC,0,1,-9.309,109.016,1780,0.944,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10049-5,MC,0,1,-8.785,110.497,1289,0.944,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10050-1,MC,0,1,-9.465,110.447,1221,0.847,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10058-1,MC,0,1,-8.684,112.638,1113,0.929,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10059-1,MC,0,1,-8.678,112.868,1370,0.936,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10061-5,MC,0,1,-9.729,113.024,2170,0.950,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10063-5,MC,0,1,-9.646,118.15,2501,0.949,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10064-5,MC,0,1,-9.539,118.301,2033,0.954,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10066-6,MC,0,1,-9.007,118.01,1632,0.935,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10067-5,MC,0,1,-9.149,119.291,1136,0.943,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10068-1,MC,0,1,-9.01,121.003,2011,0.945,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
GeoB10069-4,MC,0,1,-9.595,120.916,1249,0.962,1,Chen2014,http://dx.doi.org/10.1016/j.dsr.2014.03.005,
2BC5-3 6,-999,-999,-999,14.68,-17.83,-999,1.000,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
Afr margin,-999,-999,-999,-5,10.5,-999,0.865,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
BC207,BC,-999,-999,35.67,-121.62,795,0.537,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
BC238,BC,-999,-999,35.95,-122.98,3590,0.663,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
BOFS/Multicore,MC,-999,-999,61,-20,-999,0.340,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
BOFS/Multicore,MC,-999,-999,32,-20,-999,0.620,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
BOFS/Multicore,MC,-999,-999,18,-20,-999,0.720,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
BOFS21/8M,MC,-999,-999,32.999,-18.267,-999,0.710,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
BOFS23/7M,MC,-999,-999,32.497,-20.418,-999,0.618,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
BOFS26/2M,MC,-999,-999,24.478,-19.887,-999,0.801,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
BOFS27/5M,MC,-999,-999,24.482,-20.387,-999,0.790,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
BOFS28/2M,MC,-999,-999,24.575,-22.81,-999,0.804,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
BOFS29/2M,MC,-999,-999,20.531,-21.118,-999,0.801,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
BOFS30/1M,MC,-999,-999,19.67,-20.674,-999,0.819,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
BOFS32/3M,MC,-999,-999,22.521,-22.013,-999,0.878,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
Cal Margin,-999,-999,-999,35.683,-121.5,-999,0.511,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
Cal Margin,GC,-999,-999,27.88,-111.66,644,0.900,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
Carib,-999,-999,-999,0.607,-46.092,-999,0.883,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
D11139#8,BC,-999,-999,31.422,-25.203,5340,0.704,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
D11798#2,BC,-999,-999,27.558,-27.662,5210,0.725,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
D11800#5,BC,-999,-999,28.425,-25.795,5273,0.772,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
D11804#4,BC,-999,-999,26.872,-27.12,4790,0.767,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
D11815#5,BC,-999,-999,33.502,-22.623,5330,0.653,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
D11939#3,BC,-999,-999,33.492,-13.735,4420,0.694,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
D11944#5,BC,-999,-999,35.723,-13.645,4820,0.699,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
ERDCBX120,-999,-999,-999,0.017,158.693,-999,0.970,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
F8-90-G25,GC,-999,-999,37.45,-123.33,1720,0.468,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB3001-1,MC,-999,-999,12.403,44.493,174,0.961,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB3002-1,MC,-999,-999,12.288,44.637,752,0.963,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB3003-5,MC,-999,-999,13.493,50.295,2013,0.949,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB3004-4,MC,-999,-999,14.605,52.918,1801,0.946,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB3006-2,MC,-999,-999,15.828,56.995,3521,0.955,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB3007-3,MC,-999,-999,16.17,59.772,1914,0.950,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB3008-5,MC,-999,-999,16.092,59.685,2223,0.931,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB3009-2,MC,-999,-999,16.21,60.267,4031,0.924,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB3011-3,MC,-999,-999,16.532,55.331,2624,0.934,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB3012-2,MC,-999,-999,14.54,51.748,1540,0.939,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB3013-2,MC,-999,-999,13.31,48.783,1731,0.952,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB3014-2,MC,-999,-999,12.862,47.435,1626,0.954,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6402-9,GBC,-999,-999,-39.743,-22.757,3878,0.534,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6404-3,MC,-999,-999,-41.506,-23.465,4223,0.450,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6405-8,MC,-999,-999,-42,-21.853,3863,0.444,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6406-1,MC,-999,-999,-42,-20.784,3514,0.436,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6407-2,MC,-999,-999,-42.045,-19.5,3384,0.416,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6408-3,GBC,-999,-999,-43.614,-20.441,3797,0.398,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6409-2,GC,-999,-999,-44.507,-21.717,4296,0.354,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6409-3,GBC,-999,-999,-44.507,-21.717,4296,0.346,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6410-1,MC,-999,-999,-44.517,-20.9,4038,0.361,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6411-4,GBC,-999,-999,-44.363,-18.352,3893,0.350,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6412-1,GBC,-999,-999,-44.254,-17.647,3475,0.358,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6413-4,GBC,-999,-999,-44.207,-17.34,3768,0.358,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6414-1,GBC,-999,-999,-43.999,-13.07,3830,0.337,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6416-2,GBC,-999,-999,-39.955,-18.163,3525,0.496,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6417-2,GBC,-999,-999,-39.093,-21.042,4024,0.526,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6418-3,GBC,-999,-999,-38.427,-21.535,4126,0.542,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6419-1,GBC,-999,-999,-37.774,-21.864,3568,0.565,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6420-2,GBC,-999,-999,-37.158,-22.148,3998,0.579,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6421-1,GBC,-999,-999,-36.448,-22.445,4216,0.584,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6422-5,GBC,-999,-999,-35.707,-22.733,3972,0.590,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6423-1,GBC,-999,-999,-35.253,-22.992,3963,0.591,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6424-2,GBC,-999,-999,-34.608,-23.276,3820,0.601,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6425-1,GBC,-999,-999,-33.825,-23.588,4352,0.614,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6426-2,MC,-999,-999,-33.499,-24.024,4381,0.615,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6427-1,MC,-999,-999,-33.182,-24.248,4491,0.615,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6428-3,GBC,-999,-999,-32.51,-24.248,4022,0.633,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GeoB6429-1,GBC,-999,-999,-31.95,-24.248,4335,0.643,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GIK16867-1,BC,-999,-999,-2.203,5.1,3891,0.929,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
GIK16874-1,BC,-999,-999,-0.343,8.478,993,0.946,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
Gulf_Maine,-999,-999,-999,42.68,-69.68,-999,0.381,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
Gulf_Mexico_625,-999,-999,-999,28.75,-87.17,-999,0.876,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
Hawaii,PC,-999,-999,21.37,-158.18,671,0.911,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
Hawaii,PC,-999,-999,21.33,-158.17,640,0.900,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
K_Y_Lee_PC1,-999,-999,-999,37.98,-129.3,-999,0.572,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
K_Y_Lee_PC18,-999,-999,-999,36.49,-131.84,-999,0.645,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
KTB-01,MC,-999,-999,-49.1,67.017,1235,0.087,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
KTB-12,MC,-999,-999,-49,58,4390,0.138,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
KTB-14,MC,-999,-999,-50,58,4610,0.178,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
KTB-18,MC,-999,-999,-48.017,55.983,4245,0.137,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
KTB-20,MC,-999,-999,-47,58,4550,0.275,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
KTB-21,MC,-999,-999,-45.967,55.983,4195,0.174,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
KTB-22,MC,-999,-999,-46,56,4260,0.209,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
L13-81-G138,PC,-999,-999,38.41,-123.97,2531,0.479,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
M31/3_MC-17,-999,-999,-999,17.751,58.15,-999,0.933,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
MD73-029,PC,0,1,-45.292,72.85,3825,0.372,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
NH-15Bc,BC,-999,-999,22.72,-106.5,-999,0.934,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
NH-1BC,BC,-999,-999,22.83,-106.43,-999,0.927,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
NH-6BC,BC,-999,-999,22.6,-106.5,-999,0.917,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
NH-7BC,BC,-999,-999,22.72,-106.49,-999,0.937,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
Nor. Sea,-999,-999,-999,67,7.38,-999,0.361,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
ODP 1002C,Drill,-999,-999,10.7,-65.17,893,0.883,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
ODP 828,Drill,-999,-999,-15.28,166.28,3192,1.000,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
Peru Upwelling,-999,-999,-999,-12,-77.3,-999,0.550,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
Peru1MC3,-999,-999,-999,-12.378,-77.483,-999,0.747,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
Peru2MC4,-999,-999,-999,-12.546,-77.58,-999,0.647,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
Peru3MC1,-999,-999,-999,-12.672,-77.642,-999,0.746,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
Peru4MC2,-999,-999,-999,-12.543,-77.493,-999,0.762,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
PLDS-066BX,BC,-999,-999,0.943,-104.102,3496,0.873,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
PLDS-068BX,BC,-999,-999,1.028,-105.498,3650,0.885,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
PLDS-070BX,BC,-999,-999,1.058,-107.215,3694,0.886,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
PLDS-072BX,BC,-999,-999,1.013,-109.26,3626,0.888,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
PLDS-074BX,BC,-999,-999,1.002,-113.66,3945,0.895,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
PLDS-077BX,BC,-999,-999,1.06,-119.93,4366,0.914,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
PLDS-090BX,BC,-999,-999,0.987,-135.08,4297,0.938,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
RC10-289,PC,-999,-999,37.01,-72.5,3173,0.740,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
RC27-03-2,TriggerW,-999,-999,17.693,57.877,1473,0.930,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
V21-1,PC,-999,-999,38.72,-72.65,2186,0.666,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
V26-176,PC,-999,-999,36.01,-72.38,3942,0.771,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
V30-5,PC,-999,-999,34.62,-74.65,3203,0.790,1,Conte2006,http://dx.doi.org/10.1029/2005GC001054,
ODP 1019,Drill,-999,-999,41.68,-124.93,980,0.436,1,Conte2006  Barron2003,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1029/2002pa000768,
GeoB1501-1,GBC,0,2,-3.6817,-32.0117,4258,0.929,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB1503-2,GBC,0,2,2.31,-30.6483,2298,0.946,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB1504-1,GBC,0,2,2.2883,-31.2867,2980,0.925,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB1506-1,GBC,0,2,2.205,-35.1817,4267,0.935,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB1514-4,GBC,0,2,5.1383,-46.575,3511,0.942,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB1515-2,GBC,0,2,4.2383,-43.665,3125,0.945,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB2022-3,MC,0,2,-34.435,-20.9083,4016,0.648,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB2101-1,GBC,3,4,-23.9883,-41.2067,1814,0.859,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB2102-1,MC,0,1,-23.9833,-41.2,1805,0.878,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB2104-1,MC,0,1,-27.29,-46.3783,1505,0.857,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB2105-3,MC,0,1,-26.7383,-46.7383,202,0.863,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB2106-1,MC,0,1,-27.0983,-46.4967,502,0.859,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB2107-5,MC,0,1,-27.18,-46.4567,1052,0.845,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB2108-1,MC,0,1,-27.4867,-46.23,1991,0.860,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB2109-3,MC,0,1,-27.9117,-45.87,2513,0.853,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB2110-1,MC,0,1,-28.65,-45.5217,3003,0.860,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB2111-2,MC,0,1,-29.1117,-45.2233,3498,0.806,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB2112-1,MC,0,1,-29.135,-43.3767,4009,0.802,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB2116-2,MC,0,1,-25.5117,-35.9983,4164,0.834,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB2117-4,MC,0,1,-23.0433,-36.6517,4047,0.872,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB2118-1,MC,0,1,-22.0933,-38.0217,3482,0.913,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB2119-2,MC,0,1,-21.7317,-38.55,2958,0.893,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB2124-1,MC,0,1,-20.9583,-39.56,2003,0.914,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB2125-2,MC,0,1,-20.82,-39.8567,1542,0.896,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB2126-1,MC,0,1,-21.27,-38.9333,2537,0.924,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB2130-1,MC,0,1,-20.615,-37.1033,2113,0.912,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB2201-1,MC,0,1,-8.1683,-34.4633,794,0.929,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB2202-5,MC,0,1,-8.1967,-34.2633,1128,0.938,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB2204-1,MC,0,1,-8.5317,-34.0233,2080,0.941,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB2205-4,MC,0,1,-8.5733,-34.345,1790,0.960,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB2206-1,MC,0,1,-8.5583,-34.48,1442,0.939,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
GeoB2207-2,MC,0,1,-8.735,-34.135,2585,0.950,1,Conte2006  Benthien2000,http://dx.doi.org/10.1029/2005GC001054  http://dx.doi.org/10.1016/s0967-0637(00)00030-3,
