sampleID,core_name,core_type,sample_depth_start,sample_depth_end,Latitude,Longitude,modernWaterDepth,TEX86,fGDGT_0,fGDGT_1,fGDGT_2,fGDGT_3,fGDGT_cren,fGDGT_cren_prime,BIT,publicationYear,reference_name,remark,reference_link,RI_zhang16,RI_zhang16_revised,RI_0to5,gdgt23ratio,methaneIndex,gdgtZeroOverZeroCren,QC_flag,match_lat,match_lon,match_depth,SST,thermocline_depth,thermocline_T,thermocline_T_depthIntegral,SSN,thermocline_nitrate,thermocline_nitrate_depthIntegral,region_ID,regionName,pred_tex,tex_residuals
TEXAS_PSM_RR00027,KH04-5 SX14,GC,0.0,1.0,-50.0167,-170.0,5388.0,0.424,0.452,0.049,0.025,0.002,0.462,0.009,-999.0,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,1.989,2.46,2.46,12.5,0.13893967093235832,0.452,include,-50.125,-170.125,5400.0,10.00281,75.0,9.1502905,9.68049,15.602831,17.450916,16.053867,29.0,NZ-SW Pacific,0.46663702,-0.042637015342712414
TEXAS_PSM_RR00028,KH01-3 St. 10,GC,0.0,1.0,-47.0,-160.0,5118.0,0.442,0.426,0.053,0.028,0.003,0.479,0.011,-999.0,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,2.078,2.568,2.568,9.333333333333334,0.14634146341463417,0.426,include,-47.125,-160.125,5100.0,11.28709,90.0,10.156,10.913578,10.436857,12.921244,11.181913,29.0,NZ-SW Pacific,0.4796884,-0.03768840599060058
TEXAS_PSM_RR00029,KH01-3 St. 19,GC,0.0,1.0,-50.0,140.0,3755.0,0.459,0.432,0.046,0.025,0.003,0.484,0.011,-999.0,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,2.085,2.58,2.58,8.333333333333334,0.13005272407732865,0.432,include,-50.125,139.875,3800.0,8.4463,700.0,5.75299,7.4364977,17.941778,28.454557,22.443834,41.0,Tasman-Antarctica 140E Transect,0.44288588,0.016114124298095722
TEXAS_PSM_RR00030,KH04-5 SX15,GC,0.0,1.0,-45.0,-170.0,5165.0,0.461,0.419,0.055,0.033,0.003,0.479,0.011,-999.0,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,2.09,2.58,2.58,11.0,0.1566265060240964,0.419,include,-45.125,-170.125,5200.0,13.03101,10.0,12.829591,12.967305,8.608639,8.609694,8.608983,29.0,NZ-SW Pacific,0.5014257,-0.04042568349838255
TEXAS_PSM_RR00031,KH04-5 SX16,GC,0.0,1.0,-43.1833,-171.0,2313.0,0.52,0.384,0.059,0.047,0.004,0.494,0.013,-999.0,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,2.193,2.6999999999999997,2.6999999999999997,11.75,0.17828200972447325,0.384,include,-43.125,-171.125,2300.0,14.19919,55.0,13.22971,13.8902025,5.411049,6.4412026,5.629219,29.0,NZ-SW Pacific,0.51119393,0.008806068897247332
TEXAS_PSM_RR00032,KH04-5 SX17,GC,0.0,1.0,-40.0,-170.0,4635.0,0.521,0.388,0.056,0.043,0.003,0.494,0.015,-999.0,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,2.187,2.6959999999999997,2.6959999999999997,14.333333333333332,0.16693944353518822,0.388,include,-40.125,-170.125,4600.0,15.58941,65.0,13.92669,14.989807,3.3048277,4.9121647,3.6923177,29.0,NZ-SW Pacific,0.5228325,-0.0018325128555297665
TEXAS_PSM_RR00033,KH03-1 HY08,GC,0.0,1.0,-3.9667,-95.0,3657.0,0.575,0.359,0.068,0.062,0.004,0.48,0.026,-999.0,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,2.228,2.734,2.734,15.5,0.209375,0.359,include,-3.875,-95.125,3700.0,23.98399,30.0,21.52189,23.242762,5.159717,7.231353,5.6876884,10.0,East Equatorial Pacific,0.61018443,-0.03518443107604985
TEXAS_PSM_RR00034,KH01-3 St. 08,GC,0.0,1.0,-35.0,-160.0,5098.0,0.574,0.365,0.058,0.051,0.003,0.498,0.024,-999.0,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,2.257,2.7790000000000004,2.7790000000000004,17.0,0.17665615141955837,0.365,include,-35.125,-160.125,5100.0,18.02191,60.0,16.69291,17.52897,0.08648929,0.17686501,0.10447572,29.0,NZ-SW Pacific,0.54970783,0.024292170047759964
TEXAS_PSM_RR00035,KH03-1 HY07,GC,0.0,1.0,-2.0333,-95.0,3331.0,0.588,0.342,0.066,0.059,0.006,0.499,0.029,-999.0,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,2.314,2.842,2.842,9.833333333333332,0.19878603945371776,0.342,include,-2.125,-95.125,3300.0,23.6273,35.0,20.19589,22.40696,5.668749,11.248686,7.551922,10.0,East Equatorial Pacific,0.601338,-0.013338028907775912
TEXAS_PSM_RR00036,KH03-1 HY08B,GC,0.0,1.0,-5.95,-94.9167,3852.0,0.587,0.369,0.062,0.055,0.006,0.482,0.027,-999.0,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,2.226,2.7350000000000003,2.7350000000000003,9.166666666666666,0.19462025316455694,0.369,include,-5.875,-94.875,3900.0,24.66679,70.0,18.4152,22.977434,4.8801184,16.09872,7.662242,10.0,East Equatorial Pacific,0.6073761,-0.020376098632812534
TEXAS_PSM_RR00037,KH03-1 HY03,GC,0.0,1.0,8.0333,-94.95,3661.0,0.594,0.34,0.063,0.059,0.007,0.506,0.026,-999.0,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,2.33,2.862,2.862,8.428571428571429,0.1951588502269289,0.34,include,8.125,-94.875,3700.0,27.88769,30.0,23.07559,26.64882,2.7494807,11.705458,5.3848753,10.0,East Equatorial Pacific,0.6462352,-0.052235227584838895
TEXAS_PSM_RR00038,KH03-1 HY04,GC,0.0,1.0,4.0333,-95.05,3563.0,0.599,0.345,0.067,0.063,0.006,0.49,0.031,-999.0,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,2.295,2.816,2.816,10.5,0.20700152207001524,0.345,include,4.125,-95.125,3600.0,27.43219,55.0,21.47261,25.75381,0.81707776,11.131337,3.8848155,10.0,East Equatorial Pacific,0.63676214,-0.03776214218139651
TEXAS_PSM_RR00039,KH03-1 HY09,GC,0.0,1.0,-7.9833,-95.0167,3910.0,0.597,0.344,0.071,0.069,0.004,0.481,0.032,-999.0,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,2.273,2.786,2.786,17.25,0.21917808219178084,0.344,include,-7.875,-95.125,3900.0,24.618,75.0,19.200691,23.311552,4.4467363,12.779701,6.1699696,10.0,East Equatorial Pacific,0.6109125,-0.013912501811981226
TEXAS_PSM_RR00040,KH03-1 HY05,GC,0.0,1.0,2.0167,-95.5,2886.0,0.605,0.34,0.062,0.061,0.005,0.503,0.029,-999.0,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,2.327,2.859,2.859,12.2,0.19393939393939394,0.34,include,2.125,-95.625,2900.0,26.53549,50.0,20.107609,24.52215,1.5005026,10.997948,4.4137897,10.0,East Equatorial Pacific,0.6237259,-0.018725891113281268
TEXAS_PSM_RR00041,KH03-1 HY06,GC,0.0,1.0,0.0167,-95.4333,3246.0,0.663,0.224,0.06,0.066,0.007,0.598,0.045,-999.0,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,2.785,3.428,3.428,9.428571428571429,0.1713917525773196,0.224,include,0.125,-95.375,3200.0,24.00869,30.0,20.87169,22.787691,4.8518763,9.624891,6.5273795,10.0,East Equatorial Pacific,0.6053678,0.057632220268249545
TEXAS_PSM_RR00042,KH01-3 St. 01,GC,0.0,1.0,0.0,-160.0,5142.0,0.685,0.251,0.051,0.063,0.006,0.586,0.042,-999.0,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,2.707,3.3349999999999995,3.3349999999999995,10.5,0.16042780748663102,0.251,include,-0.125,-160.125,5100.0,27.53981,150.0,19.87739,25.784697,4.4077153,11.871962,7.011297,53.0,Equatorial Pacific,0.637089,0.04791098594665533
TEXAS_PSM_RR00043,KH04-5 SX02,GC,0.0,1.0,-0.6667,157.5167,2098.0,0.729,0.23,0.045,0.067,0.007,0.603,0.047,-999.0,2011,Ho2011,,http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,2.8000000000000003,3.4499999999999997,3.4499999999999997,9.571428571428571,0.15474642392717816,0.23,include,-0.625,157.625,2100.0,29.68589,175.0,19.57939,26.691881,0.71556675,10.9994955,4.478398,47.0,West Equatorial Pacific,0.64669096,0.08230903530120848
TEXAS_PSM_RR00044,TVG10,grab,0.0,5.0,-22.1811,-176.602,1921.0,0.759910732,0.28331704,0.06948833,0.125957963,0.014629122,0.427255905,0.07935164,0.099332996,2012,Hu2012,,http://dx.doi.org/10.1016/j.orggeochem.2011.10.012,2.391721802,2.898329347,2.898329347,8.610083571659326,0.29312182195597336,0.28331704,include,-22.125,-176.625,1900.0,25.20509,80.0,23.2864,24.486631,0.0010635834,0.016813911,0.0019161524,42.0,Tonga-Tropical South Pacific,0.6233499,0.13656082698596195
TEXAS_PSM_RR00045,TVG11,grab,0.0,5.0,-20.9281,-176.241,2254.0,0.695484416,0.427925308,0.059960351,0.072626693,0.008357174,0.375170645,0.055959829,0.364692639,2012,Hu2012,,http://dx.doi.org/10.1016/j.orggeochem.2011.10.012,1.9548071550000001,2.3859376290000003,2.3859376290000003,8.690341136848414,0.24637380392978475,0.427925308,include,-20.875,-176.125,2300.0,25.9219,60.0,24.610191,25.47974,0.0007897918,0.000460216,0.0003711598,42.0,Tonga-Tropical South Pacific,0.6338613,0.06162311267053222
TEXAS_PSM_RR00046,TVG14,grab,0.0,5.0,-20.6854,-176.185,2249.0,0.670808951,0.327639013,0.076111359,0.086292001,0.009768064,0.441153732,0.059035831,0.211841502,2012,Hu2012,,http://dx.doi.org/10.1016/j.orggeochem.2011.10.012,2.278757805,2.778947368,2.778947368,8.834094555482027,0.25606991977361704,0.327639013,include,-20.625,-176.125,2200.0,26.0559,55.0,24.9232,25.69204,0.00076004385,0.00028871172,0.00033646487,42.0,Tonga-Tropical South Pacific,0.63610834,0.03470061216714482
TEXAS_PSM_RR00047,TVG2,grab,0.0,5.0,-19.7418,-175.956,2350.0,0.734538756,0.279253872,0.074106652,0.10925325,0.011037103,0.441584276,0.084764846,0.203587729,2012,Hu2012,,http://dx.doi.org/10.1016/j.orggeochem.2011.10.012,2.431120949,2.9574700710000004,2.9574700710000004,9.898725236142129,0.2697163366096034,0.279253872,include,-19.625,-175.875,2300.0,26.5194,60.0,25.22139,26.110712,0.0007002157,0.0006087995,0.00028627794,42.0,Tonga-Tropical South Pacific,0.6405397,0.09399905024667354
TEXAS_PSM_RR00048,TVG5,grab,0.0,5.0,-22.5338,-176.711,1885.0,0.718434024,0.237840415,0.059831068,0.081706236,0.009628297,0.549665628,0.061328356,0.488637783,2012,Hu2012,,http://dx.doi.org/10.1016/j.orggeochem.2011.10.012,2.696104367,3.307098351,3.307098351,8.486052725627388,0.1983385159421698,0.237840415,include,-22.625,-176.625,1900.0,25.005009,80.0,23.06221,24.267056,0.0010923642,0.014125666,0.0016295863,42.0,Tonga-Tropical South Pacific,0.62102586,0.09740816369039917
TEXAS_PSM_RR00049,TVG6,grab,0.0,5.0,-22.5318,-176.716,1868.0,0.731429918,0.297734701,0.086441797,0.13749347,0.014252797,0.380405929,0.083671305,0.331563598,2012,Hu2012,,http://dx.doi.org/10.1016/j.orggeochem.2011.10.012,2.260496064,2.724573298,2.724573298,9.646771086405007,0.33917105783005674,0.297734701,include,-22.625,-176.625,1850.0,25.005009,80.0,23.06221,24.267056,0.0010923642,0.014125666,0.0016295863,42.0,Tonga-Tropical South Pacific,0.62102586,0.11040405769039918
TEXAS_PSM_RR00050,TVG8,grab,0.0,5.0,-22.2158,-176.607,1744.0,0.685024605,0.393540816,0.094135827,0.122392524,0.018601607,0.307591945,0.063737282,0.56035314,2012,Hu2012,,http://dx.doi.org/10.1016/j.orggeochem.2011.10.012,1.880042604,2.251371831,2.251371831,6.579674756057367,0.3877094515437176,0.393540816,exclude,-22.125,-176.625,1750.0,25.20509,80.0,23.2864,24.486631,0.0010635834,0.016813911,0.0019161524,42.0,Tonga-Tropical South Pacific,0.6233499,0.06167469998596187
TEXAS_PSM_RR00051,S017,,0.0,1.0,20.25,119.5,2800.0,0.726775956,0.182,0.05,0.064,0.011,0.635,0.058,0.09,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002,2.983,3.6759999999999997,3.6759999999999997,5.818181818181818,0.15281173594132028,0.182,include,20.125,119.375,2800.0,27.24951,70.0,23.98001,26.166605,0.027445598,0.89261246,0.14204682,38.0,South China Sea,0.6411313,0.08564467414727783
TEXAS_PSM_RR00052,S031,,0.0,1.0,10.5,111.0,2521.0,0.735751295,0.176,0.051,0.07,0.011,0.63,0.061,0.13,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002,2.9880000000000004,3.6790000000000003,3.6790000000000003,6.363636363636364,0.1603888213851762,0.176,include,10.375,110.875,2500.0,28.43491,70.0,24.0482,27.290178,0.076152146,1.7216533,0.28885064,38.0,South China Sea,0.65302354,0.0827277540263367
TEXAS_PSM_RR00053,S052,,0.0,1.0,7.25,115.5,1609.0,0.756613757,0.152,0.046,0.068,0.016,0.66,0.059,0.09,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002,3.106,3.825,3.825,4.25,0.15312131919905772,0.152,include,7.125,115.375,1600.0,28.67721,75.0,24.691391,27.648884,0.007041758,4.124981,0.55419385,38.0,South China Sea,0.6568202,0.09979357896807861
TEXAS_PSM_RR00054,S072,,0.0,1.0,20.65,119.09,3447.0,0.706185567,0.204,0.057,0.07,0.012,0.602,0.055,0.22,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002,2.861,3.518,3.518,5.833333333333334,0.17462311557788945,0.204,include,20.625,119.125,3400.0,27.175,70.0,24.0275,26.154245,0.030327253,0.9237878,0.14141177,38.0,South China Sea,0.6410005,0.06518505773791505
TEXAS_PSM_RR00055,S098,,0.0,1.0,19.31,119.88,4182.0,0.727272727,0.181,0.048,0.065,0.012,0.642,0.051,0.23,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002,2.986,3.679,3.679,5.416666666666667,0.15281173594132028,0.181,include,19.375,119.875,4200.0,27.46781,70.0,23.21101,25.997644,0.021622509,1.2554114,0.20290042,38.0,South China Sea,0.63934296,0.08792976330447388
