sampleID,index_column,core_name,core_type,sample_depth_start,sample_depth_end,Latitude,Longitude,modernWaterDepth,TEX86,fGDGT_0,fGDGT_1,fGDGT_2,fGDGT_3,fGDGT_cren,fGDGT_cren_prime,BIT,publicationYear,reference_name,remark,reference_link,dataset_DOI,ringIndex,gdgt23ratio,methaneIndex,gdgtZeroOverZeroCren,TEX_RI,deltaRI,QC_flag,match_lat,match_lon,match_depth,SST,thermocline_depth,thermocline_T,thermocline_T_depthIntegral,SSN,thermocline_nitrate,thermocline_nitrate_depthIntegral,region_ID,regionName,pred_tex,tex_residuals
RR00011,JET_RR_00011,KNR195-5 MC4,MC,4.0,6.0,-0.216,-89.504,1612.0,0.623206848,0.328431624,0.069246957,0.07035175,0.007158687,0.487788611,0.037022371,0.188620497,2025.0,this study,New GDGT measurements published in this study,,10.5281/zenodo.14806962,2.330670446,9.82746556735893,0.21852934004146735,0.328431624,2.399574821348396,0.06890437534839577,include,-0.125,-89.625,1600.0,24.554491,,,,3.371564,nan,nan,10.0,East Equatorial Pacific,,
RR00012,JET_RR_00012,KNR195-5-17 MC42,MC,3.0,5.0,-1.253,-89.6855,615.0,0.630416208,0.297720977,0.073346752,0.072606442,0.010907081,0.503821316,0.041597433,0.032614874,2025.0,this study,New GDGT measurements published in this study,,10.5281/zenodo.14806962,2.4329558749999998,6.656816979721705,0.2233589067014481,0.297720977,2.4240291762662096,-0.00892669873379015,include,-1.375,-89.625,600.0,23.59299,,,,4.060376,nan,nan,10.0,East Equatorial Pacific,,
RR00013,JET_RR_00013,KNR195-5-4 MC9,MC,5.0,7.0,-0.826,-87.9082,1563.0,0.613468173,0.313385037,0.07307093,0.071792069,0.006095506,0.497572497,0.038083961,0.032469552,2025.0,this study,New GDGT measurements published in this study,,10.5281/zenodo.14806962,2.377567418,11.77786864617966,0.21985903764814982,0.313385037,2.3670889284127403,-0.01047848958725961,include,-0.875,-87.875,1550.0,23.899809,30.0,20.003891,22.52226,3.7207832,9.812277,5.6228843,10.0,East Equatorial Pacific,0.6099043,0.0035638837543945368
RR00014,JET_RR_00014,64PE304-56,PC,0.0,1.0,-16.85,41.32,2652.0,0.686,0.256685729,0.068813559,0.08937023,0.012122106,0.523951803,0.049056574,0.1251,2012.0,Fallet2012,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.dsr.2011.10.002,'https://doi.org/10.25921/wt2r-sc81,2.575953845,7.372500289966116,0.22911694476384278,0.256685729,2.6241587200000005,0.04820487500000059,include,-16.875,41.375,2700.0,27.743109,75.0,24.40491,26.529945,0.0065327995,0.4793036,0.058897782,25.0,Mozambique Channel,0.65626097,0.029739032745361382
RR00015,JET_RR_00015,64PE304-63,PC,0.0,1.0,-16.5887,40.3608,1695.0,0.689,0.234902666,0.07095497,0.091567971,0.016249911,0.537073889,0.049250592,0.1102,2012.0,Fallet2012,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.dsr.2011.10.002,'https://doi.org/10.25921/wt2r-sc81,2.648138569,5.634982923906476,0.23366027339164702,0.234902666,2.63554372,-0.012594849000000075,include,-16.625,40.375,1700.0,27.56929,80.0,23.268091,25.998505,0.013678089,2.0545168,0.37833658,25.0,Mozambique Channel,0.6501138,0.03888617897033686
RR00016,JET_RR_00016,64PE304-66,PC,0.0,1.0,-16.5342,40.05458,1103.0,0.691,0.189589377,0.063497985,0.080013618,0.01820983,0.605018446,0.043670744,0.0978,2012.0,Fallet2012,Previously unpublished,http://dx.doi.org/10.1016/j.dsr.2011.10.002,'https://doi.org/10.25921/wt2r-sc81,2.872911471,4.393979405628718,0.19955492735440117,0.189589377,2.6431669199999996,-0.22974455100000046,include,-16.625,40.125,1100.0,27.52871,,,,0.014874479,nan,nan,25.0,Mozambique Channel,,
RR00017,JET_RR_00017,64PE304-68,PC,0.0,1.0,-16.5029,40.0252,756.0,0.692,0.205340626,0.068953196,0.087240435,0.022420906,0.570673202,0.045371636,0.0933,2012.0,Fallet2012,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.dsr.2011.10.002,'https://doi.org/10.25921/wt2r-sc81,2.7748761360000005,3.891030763877249,0.22476867777467543,0.205340626,2.64698848,-0.1278876560000004,include,-16.625,40.125,750.0,27.52871,,,,0.014874479,nan,nan,25.0,Mozambique Channel,,
RR00018,JET_RR_00018,M75-1b MC7,MC,0.0,1.0,-17.27183333,43.15516667,455.0,0.715,0.171708781,0.06376583,0.088727922,0.022747637,0.604781212,0.048268617,0.0235,2012.0,Fallet2012,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.dsr.2011.10.002,'https://doi.org/10.25921/wt2r-sc81,2.921663901,3.9005335806967554,0.21156977786525316,0.171708781,2.7367169999999996,-0.18494690100000044,include,-17.375,43.125,450.0,27.7068,,,,0.02001921,nan,nan,25.0,Mozambique Channel,,
RR00019,JET_RR_00019,M75-1b MC3,MC,0.0,1.0,-16.92366667,41.59883333,2768.0,0.687,0.238238459,0.067944047,0.089057989,0.012626997,0.544638798,0.04749371,0.1356,2012.0,Fallet2012,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.dsr.2011.10.002,'https://doi.org/10.25921/wt2r-sc81,2.652471048,7.052982510410037,0.22267996462163217,0.238238459,2.62794708,-0.024523968000000007,include,-16.875,41.625,2800.0,27.76251,75.0,24.54041,26.583649,0.0061543477,0.4288171,0.048258577,25.0,Mozambique Channel,0.65688217,0.030117833137512262
RR00020,JET_RR_00020,M75-1b MC9,MC,0.0,1.0,-16.55583333,40.13483333,1345.0,0.7,0.20723775,0.067271673,0.08889238,0.017200193,0.56847128,0.050926724,0.0753,2012.0,Fallet2012,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.dsr.2011.10.002,'https://doi.org/10.25921/wt2r-sc81,2.774249028,5.168103636976632,0.21868378066690233,0.20723775,2.6778,-0.09644902799999988,include,-16.625,40.125,1350.0,27.52871,,,,0.014874479,nan,nan,25.0,Mozambique Channel,,
RR00021,JET_RR_00021,M75-1b MC5,MC,0.0,1.0,-17.25283333,43.09616667,1027.0,0.707,0.202558454,0.06881448,0.098607475,0.016757217,0.562398297,0.050864077,0.0161,2012.0,Fallet2012,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.dsr.2011.10.002,'https://doi.org/10.25921/wt2r-sc81,2.769350577,5.884478013264374,0.23096259898151836,0.202558454,2.70510868,-0.06424189700000005,include,-17.375,43.125,1050.0,27.7068,,,,0.02001921,nan,nan,25.0,Mozambique Channel,,
RR00022,JET_RR_00022,M75-1b MC4,MC,0.0,1.0,-16.72883333,40.874,2266.0,0.687,0.240060195,0.072213199,0.095731803,0.013514261,0.528901469,0.049579073,0.0765,2012.0,Fallet2012,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.dsr.2011.10.002,'https://doi.org/10.25921/wt2r-sc81,2.618141756,7.083761590811366,0.23878110056361634,0.240060195,2.62794708,0.009805324000000226,include,-16.625,40.875,2300.0,27.660591,,,,0.010047516,nan,nan,25.0,Mozambique Channel,,
RR00023,JET_RR_00023,M75-1b MC1,MC,0.0,1.0,-17.099,42.4755,2198.0,0.698,0.228444727,0.070145469,0.097444467,0.013069467,0.538971015,0.051924856,0.0304,2012.0,Fallet2012,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.dsr.2011.10.002,'https://doi.org/10.25921/wt2r-sc81,2.667826288,7.4558868391496,0.234149657306341,0.228444727,2.67005728,0.002230991999999876,include,-17.125,42.375,2200.0,27.73231,,,,0.008625211,nan,nan,25.0,Mozambique Channel,,
RR00024,JET_RR_00024,KH04-5 SX10,GC,0.0,1.0,-67.2167,-172.65,3884.0,0.317,0.548,0.041,0.012,0.002,0.392,0.005,-999.0,2011.0,Ho2011,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,'https://doi.org/10.25921/wt2r-sc81,1.659,6.0,0.12168141592920355,0.548,1.6795334800000001,0.020533480000000104,include,-67.125,-172.625,3900.0,-1.28251,,,,29.92458,nan,nan,30.0,Pacific-Southern Ocean,,
RR00025,JET_RR_00025,KH04-5 SX09,GC,0.0,1.0,-65.15,174.2,3393.0,0.34,0.543,0.031,0.009,0.002,0.41,0.005,-999.0,2011.0,Ho2011,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,'https://doi.org/10.25921/wt2r-sc81,1.7149999999999999,4.5,0.09190371991247266,0.543,1.7119920000000002,-0.0030079999999996776,include,-65.125,174.125,3400.0,-0.87941,,,,29.643177,nan,nan,30.0,Pacific-Southern Ocean,,
RR00026,JET_RR_00026,KH01-3 St. 17,GC,0.0,1.0,-60.0,140.0,4483.0,0.354,0.54,0.042,0.014,0.002,0.396,0.007,-999.0,2011.0,Ho2011,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,'https://doi.org/10.25921/wt2r-sc81,1.6880000000000002,7.0,0.12581344902386118,0.54,1.73346912,0.04546911999999992,include,-60.125,139.875,4500.0,1.16679,,,,26.308533,nan,nan,41.0,Tasman-Antarctica 140E Transect,,
RR00027,JET_RR_00027,KH04-5 SX14,GC,0.0,1.0,-50.0167,-170.0,5388.0,0.424,0.452,0.049,0.025,0.002,0.462,0.009,-999.0,2011.0,Ho2011,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,'https://doi.org/10.25921/wt2r-sc81,1.989,12.5,0.13893967093235832,0.452,1.86037632,-0.12862368000000002,include,-50.125,-170.125,5400.0,10.00281,,,,15.602831,nan,nan,29.0,NZ-SW Pacific,,
RR00028,JET_RR_00028,KH01-3 St. 10,GC,0.0,1.0,-47.0,-160.0,5118.0,0.442,0.426,0.053,0.028,0.003,0.479,0.011,-999.0,2011.0,Ho2011,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,'https://doi.org/10.25921/wt2r-sc81,2.078,9.333333333333334,0.14634146341463417,0.426,1.89826848,-0.1797315199999998,include,-47.125,-160.125,5100.0,11.28709,,,,10.436857,nan,nan,29.0,NZ-SW Pacific,,
RR00029,JET_RR_00029,KH01-3 St. 19,GC,0.0,1.0,-50.0,140.0,3755.0,0.459,0.432,0.046,0.025,0.003,0.484,0.011,-999.0,2011.0,Ho2011,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,'https://doi.org/10.25921/wt2r-sc81,2.085,8.333333333333334,0.13005272407732865,0.432,1.93603092,-0.14896907999999986,include,-50.125,139.875,3800.0,8.4463,,,,17.941778,nan,nan,41.0,Tasman-Antarctica 140E Transect,,
RR00030,JET_RR_00030,KH04-5 SX15,GC,0.0,1.0,-45.0,-170.0,5165.0,0.461,0.419,0.055,0.033,0.003,0.479,0.011,-999.0,2011.0,Ho2011,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,'https://doi.org/10.25921/wt2r-sc81,2.09,11.0,0.1566265060240964,0.419,1.9405997200000003,-0.1494002799999996,include,-45.125,-170.125,5200.0,13.03101,,,,8.608639,nan,nan,29.0,NZ-SW Pacific,,
RR00031,JET_RR_00031,KH04-5 SX16,GC,0.0,1.0,-43.1833,-171.0,2313.0,0.52,0.384,0.059,0.047,0.004,0.494,0.013,-999.0,2011.0,Ho2011,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,'https://doi.org/10.25921/wt2r-sc81,2.193,11.75,0.17828200972447325,0.384,2.0873280000000003,-0.10567199999999977,include,-43.125,-171.125,2300.0,14.19919,,,,5.411049,nan,nan,29.0,NZ-SW Pacific,,
RR00032,JET_RR_00032,KH04-5 SX17,GC,0.0,1.0,-40.0,-170.0,4635.0,0.521,0.388,0.056,0.043,0.003,0.494,0.015,-999.0,2011.0,Ho2011,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,'https://doi.org/10.25921/wt2r-sc81,2.187,14.333333333333332,0.16693944353518822,0.388,2.09001412,-0.09698587999999964,include,-40.125,-170.125,4600.0,15.58941,,,,3.3048277,nan,nan,29.0,NZ-SW Pacific,,
RR00033,JET_RR_00033,KH03-1 HY08,GC,0.0,1.0,-3.9667,-95.0,3657.0,0.575,0.359,0.068,0.062,0.004,0.48,0.026,-999.0,2011.0,Ho2011,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,'https://doi.org/10.25921/wt2r-sc81,2.228,15.5,0.209375,0.359,2.244925,0.016924999999999635,include,-3.875,-95.125,3700.0,23.98399,,,,5.159717,nan,nan,10.0,East Equatorial Pacific,,
RR00034,JET_RR_00034,KH01-3 St. 08,GC,0.0,1.0,-35.0,-160.0,5098.0,0.574,0.365,0.058,0.051,0.003,0.498,0.024,-999.0,2011.0,Ho2011,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,'https://doi.org/10.25921/wt2r-sc81,2.257,17.0,0.17665615141955837,0.365,2.24188032,-0.01511968000000019,include,-35.125,-160.125,5100.0,18.02191,,,,0.08648929,nan,nan,29.0,NZ-SW Pacific,,
RR00035,JET_RR_00035,KH03-1 HY07,GC,0.0,1.0,-2.0333,-95.0,3331.0,0.588,0.342,0.066,0.059,0.006,0.499,0.029,-999.0,2011.0,Ho2011,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,'https://doi.org/10.25921/wt2r-sc81,2.314,9.833333333333332,0.19878603945371776,0.342,2.28511008,-0.028889920000000124,include,-2.125,-95.125,3300.0,23.6273,,,,5.668749,nan,nan,10.0,East Equatorial Pacific,,
RR00036,JET_RR_00036,KH03-1 HY08B,GC,0.0,1.0,-5.95,-94.9167,3852.0,0.587,0.369,0.062,0.055,0.006,0.482,0.027,-999.0,2011.0,Ho2011,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,'https://doi.org/10.25921/wt2r-sc81,2.226,9.166666666666666,0.19462025316455694,0.369,2.2819790799999997,0.05597907999999974,include,-5.875,-94.875,3900.0,24.66679,,,,4.8801184,nan,nan,10.0,East Equatorial Pacific,,
RR00037,JET_RR_00037,KH03-1 HY03,GC,0.0,1.0,8.0333,-94.95,3661.0,0.594,0.34,0.063,0.059,0.007,0.506,0.026,-999.0,2011.0,Ho2011,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,'https://doi.org/10.25921/wt2r-sc81,2.33,8.428571428571429,0.1951588502269289,0.34,2.30403552,-0.02596448000000029,include,8.125,-94.875,3700.0,27.88769,,,,2.7494807,nan,nan,10.0,East Equatorial Pacific,,
RR00038,JET_RR_00038,KH03-1 HY04,GC,0.0,1.0,4.0333,-95.05,3563.0,0.599,0.345,0.067,0.063,0.006,0.49,0.031,-999.0,2011.0,Ho2011,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,'https://doi.org/10.25921/wt2r-sc81,2.295,10.5,0.20700152207001524,0.345,2.31998932,0.02498931999999998,include,4.125,-95.125,3600.0,27.43219,,,,0.81707776,nan,nan,10.0,East Equatorial Pacific,,
RR00039,JET_RR_00039,KH03-1 HY09,GC,0.0,1.0,-7.9833,-95.0167,3910.0,0.597,0.344,0.071,0.069,0.004,0.481,0.032,-999.0,2011.0,Ho2011,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,'https://doi.org/10.25921/wt2r-sc81,2.273,17.25,0.21917808219178084,0.344,2.31358788,0.04058787999999991,include,-7.875,-95.125,3900.0,24.618,,,,4.4467363,nan,nan,10.0,East Equatorial Pacific,,
RR00040,JET_RR_00040,KH03-1 HY05,GC,0.0,1.0,2.0167,-95.5,2886.0,0.605,0.34,0.062,0.061,0.005,0.503,0.029,-999.0,2011.0,Ho2011,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,'https://doi.org/10.25921/wt2r-sc81,2.327,12.2,0.19393939393939394,0.34,2.339353,0.012353000000000058,include,2.125,-95.625,2900.0,26.53549,,,,1.5005026,nan,nan,10.0,East Equatorial Pacific,,
RR00041,JET_RR_00041,KH03-1 HY06,GC,0.0,1.0,0.0167,-95.4333,3246.0,0.663,0.224,0.06,0.066,0.007,0.598,0.045,-999.0,2011.0,Ho2011,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,'https://doi.org/10.25921/wt2r-sc81,2.785,9.428571428571429,0.1713917525773196,0.224,2.53885908,-0.2461409200000002,include,0.125,-95.375,3200.0,24.00869,,,,4.8518763,nan,nan,10.0,East Equatorial Pacific,,
RR00042,JET_RR_00042,KH01-3 St. 01,GC,0.0,1.0,0.0,-160.0,5142.0,0.685,0.251,0.051,0.063,0.006,0.586,0.042,-999.0,2011.0,Ho2011,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,'https://doi.org/10.25921/wt2r-sc81,2.707,10.5,0.16042780748663102,0.251,2.6203770000000004,-0.08662299999999945,include,-0.125,-160.125,5100.0,27.53981,,,,4.4077153,nan,nan,53.0,Equatorial Pacific,,
RR00043,JET_RR_00043,KH04-5 SX02,GC,0.0,1.0,-0.6667,157.5167,2098.0,0.729,0.23,0.045,0.067,0.007,0.603,0.047,-999.0,2011.0,Ho2011,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2010.10.012,'https://doi.org/10.25921/wt2r-sc81,2.8000000000000003,9.571428571428571,0.15474642392717816,0.23,2.79305412,-0.006945880000000404,include,-0.625,157.625,2100.0,29.68589,,,,0.71556675,nan,nan,47.0,West Equatorial Pacific,,
RR00044,JET_RR_00044,TVG10,grab,0.0,5.0,-22.1811,-176.602,1921.0,0.759910732,0.28331704,0.06948833,0.125957963,0.014629122,0.427255905,0.07935164,0.099332996,2012.0,Hu2012,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2011.10.012,,2.391721802,8.610083571659326,0.29312182195597336,0.28331704,2.9220502807811357,0.5303284787811355,include,-22.125,-176.625,1900.0,25.20509,80.0,23.2864,24.486631,0.0010635834,0.016813911,0.0019161524,42.0,Tonga-Tropical South Pacific,0.63262606,0.12728467532885746
RR00045,JET_RR_00045,TVG11,grab,0.0,5.0,-20.9281,-176.241,2254.0,0.695484416,0.427925308,0.059960351,0.072626693,0.008357174,0.375170645,0.055959829,0.364692639,2012.0,Hu2012,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2011.10.012,,1.9548071550000001,8.690341136848414,0.24637380392978475,0.427925308,2.6603562617042185,0.7055491067042183,include,-20.875,-176.125,2300.0,25.9219,,,,0.0007897918,nan,nan,42.0,Tonga-Tropical South Pacific,,
RR00046,JET_RR_00046,TVG14,grab,0.0,5.0,-20.6854,-176.185,2249.0,0.670808951,0.327639013,0.076111359,0.086292001,0.009768064,0.441153732,0.059035831,0.211841502,2012.0,Hu2012,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2011.10.012,,2.278757805,8.834094555482027,0.25606991977361704,0.327639013,2.567426141552512,0.288668336552512,include,-20.625,-176.125,2200.0,26.0559,55.0,24.9232,25.69204,0.00076004385,0.00028871172,0.00033646487,42.0,Tonga-Tropical South Pacific,0.64656895,0.024239997009063763
RR00047,JET_RR_00047,TVG2,grab,0.0,5.0,-19.7418,-175.956,2350.0,0.734538756,0.279253872,0.074106652,0.10925325,0.011037103,0.441584276,0.084764846,0.203587729,2012.0,Hu2012,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2011.10.012,,2.431120949,9.898725236142129,0.2697163366096034,0.279253872,2.8157018089792114,0.38458085997921154,include,-19.625,-175.875,2300.0,26.5194,,,,0.0007002157,nan,nan,42.0,Tonga-Tropical South Pacific,,
RR00048,JET_RR_00048,TVG5,grab,0.0,5.0,-22.5338,-176.711,1885.0,0.718434024,0.237840415,0.059831068,0.081706236,0.009628297,0.549665628,0.061328356,0.488637783,2012.0,Hu2012,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2011.10.012,,2.696104367,8.486052725627388,0.1983385159421698,0.237840415,2.7504153250315637,0.05431095803156394,include,-22.625,-176.625,1900.0,25.005009,,,,0.0010923642,nan,nan,42.0,Tonga-Tropical South Pacific,,
RR00049,JET_RR_00049,TVG6,grab,0.0,5.0,-22.5318,-176.716,1868.0,0.731429918,0.297734701,0.086441797,0.13749347,0.014252797,0.380405929,0.083671305,0.331563598,2012.0,Hu2012,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2011.10.012,,2.260496064,9.646771086405007,0.33917105783005674,0.297734701,2.802964849959016,0.542468785959016,include,-22.625,-176.625,1850.0,25.005009,,,,0.0010923642,nan,nan,42.0,Tonga-Tropical South Pacific,,
RR00050,JET_RR_00050,TVG8,grab,0.0,5.0,-22.2158,-176.607,1744.0,0.685024605,0.393540816,0.094135827,0.122392524,0.018601607,0.307591945,0.063737282,0.56035314,2012.0,Hu2012,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2011.10.012,,1.880042604,6.579674756057367,0.3877094515437176,0.393540816,2.620469969541948,0.740427365541948,exclude,-22.125,-176.625,1750.0,25.20509,,,,0.0010635834,nan,nan,42.0,Tonga-Tropical South Pacific,,
RR00051,JET_RR_00051,S017,,0.0,1.0,20.25,119.5,2800.0,0.726775956,0.182,0.05,0.064,0.011,0.635,0.058,0.09,2012.0,Jia2012,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2012.07.002,'https://doi.org/10.25921/wt2r-sc81,2.983,5.818181818181818,0.15281173594132028,0.182,2.7840174374094504,-0.1989825625905497,include,20.125,119.375,2800.0,27.24951,,,,0.027445598,nan,nan,38.0,South China Sea,,
RR00052,JET_RR_00052,S031,,0.0,1.0,10.5,111.0,2521.0,0.735751295,0.176,0.051,0.07,0.011,0.63,0.061,0.13,2012.0,Jia2012,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.orggeochem.2012.07.002,'https://doi.org/10.25921/wt2r-sc81,2.9880000000000004,6.363636363636364,0.1603888213851762,0.176,2.820686996922668,-0.1673130030773322,include,10.375,110.875,2500.0,28.43491,,,,0.076152146,nan,nan,38.0,South China Sea,,
